,Date,bajaj_log_return,tata_log_return,tvs_log_return,lupin_log_return
87,05-08-2022,0.034891931,-0.781459101,1.514015566,1.227371927
88,08-08-2022,0.237681254,0.642740716,0.876625015,-0.217262842
89,10-08-2022,0.302828274,1.546967767,1.029488336,0.478849999
90,11-08-2022,-0.033461428,0.231045209,-0.867607496,3.000011817
91,12-08-2022,0.111501013,0.188636041,-0.5966088,-1.077867495
92,16-08-2022,1.307653158,2.54304103,2.749115827,0.102463486
93,17-08-2022,-0.569917974,-0.912595573,-0.87708365,0.641637275
94,18-08-2022,-0.178378679,-0.123687761,0.354836525,0.123474406
95,19-08-2022,0.341727074,-2.887831374,-1.578093596,0.021783182
96,22-08-2022,-0.811970903,-3.544014998,-2.300040096,-0.882024469
97,23-08-2022,0.563778678,1.278634748,1.923849525,1.821063461
98,24-08-2022,0.031974154,0.59546525,0.501273492,-2.600201611
99,25-08-2022,-0.068885539,-0.867303108,-1.136706011,-1.892043688
100,26-08-2022,-0.210662386,1.265900123,0.562115478,-1.851906996
101,29-08-2022,-0.602392794,-2.548044459,0.355586161,1.407244875
102,30-08-2022,1.350631023,3.840594104,2.85594247,1.074339425
103,01-09-2022,-0.209538162,-0.895528459,2.94918238,-1.263354106
104,02-09-2022,-1.120001617,-1.109149171,1.053439371,-1.065133764
105,05-09-2022,-1.859198579,-0.597340744,1.182245328,-0.084176736
106,06-09-2022,-0.691102338,-0.272704351,1.577025955,-0.091903434
107,07-09-2022,-2.154402397,-2.634056734,-1.2548187,2.085217796
108,08-09-2022,0.024701234,-0.822033248,0.325951255,0.067522627
109,09-09-2022,0.051981565,0.833244982,0.857719911,0.269598242
110,12-09-2022,0.562252686,1.137258943,-0.313645335,0.462626368
111,13-09-2022,-0.098229246,1.277832728,-1.129642971,0.341852938
112,14-09-2022,-0.421158799,-1.455367288,-0.081866514,-1.126587053
113,15-09-2022,-2.159378758,-0.657425673,0.355889052,-0.526589106
114,16-09-2022,-2.10398799,-3.353537666,-1.61149873,-4.749745419
115,19-09-2022,0.505560281,-1.643484788,0.22415364,1.429262595
116,20-09-2022,1.61435104,2.047293879,5.211324193,4.572228237
117,21-09-2022,-1.01344416,-1.531531088,-1.274087634,-1.48584898
118,22-09-2022,-0.045590538,1.058332815,-0.187367537,0.294422362
119,23-09-2022,-0.807776993,-2.127986231,-2.747316777,-2.279678327
120,26-09-2022,-3.421015045,-6.24136641,-1.231589479,0.860030642
121,27-09-2022,-0.916198495,0.326509933,0.971019557,0.366323105
122,28-09-2022,0.112865103,0.07519843,-1.322910038,2.08820662
123,29-09-2022,-1.970843353,0.786181407,-0.919760053,-2.324639838
124,30-09-2022,1.457679087,0.582509776,1.991117209,3.754230768
125,03-10-2022,-0.352121167,-1.732670296,-3.625106,6.029144359
126,04-10-2022,1.811192775,2.54497906,3.881495287,2.752258209
127,06-10-2022,0.419550679,1.508549217,3.782980035,-2.600031697
128,07-10-2022,0.247294193,-0.472012414,0.930708971,-0.276930269
129,10-10-2022,0.371158722,-4.009939871,-1.691879219,-1.960295886
130,11-10-2022,-2.468742951,-0.658813266,-1.079259026,-3.78246557
131,12-10-2022,2.677270532,0.810227337,3.033496464,-0.242607906
132,13-10-2022,-0.545006258,0.615934386,-0.932892098,1.14897827
133,14-10-2022,-0.956067682,-0.691608966,0.069565435,0.508061432
134,17-10-2022,1.625149308,-0.037862575,-0.306482485,0
135,18-10-2022,-0.488930402,2.036675887,4.900939806,0.45504795
136,19-10-2022,1.226083188,-1.294676229,3.686568542,-0.67247644
