Date,Open,High,Low,Close,Adj Close,Volume
2022-08-25,964.950012,968.000000,945.900024,949.099976,944.439941,1538844
2022-08-26,958.799988,967.250000,951.549988,954.450012,949.763733,1280541
2022-08-29,935.000000,960.000000,934.500000,957.849976,953.146973,680203
2022-08-30,964.000000,989.750000,962.700012,985.599976,980.760742,1055038
2022-09-01,983.900024,1028.800049,978.000000,1015.099976,1010.115906,3390887
2022-09-02,1022.000000,1037.449951,1019.900024,1025.849976,1020.813110,2684334
2022-09-05,1025.849976,1042.949951,1022.000000,1038.050049,1032.953247,1159599
2022-09-06,1042.849976,1058.900024,1041.750000,1054.550049,1049.372314,2050061
2022-09-07,1048.000000,1062.949951,1038.050049,1041.400024,1036.286865,1263932
2022-09-08,1048.849976,1062.699951,1037.199951,1044.800049,1039.670166,1430694
2022-09-09,1056.000000,1058.699951,1044.349976,1053.800049,1048.625977,1205966
2022-09-12,1059.050049,1071.349976,1047.050049,1050.500000,1045.342163,1677576
2022-09-13,1052.550049,1059.449951,1034.550049,1038.699951,1033.599976,903787
2022-09-14,1031.000000,1049.500000,1024.550049,1037.849976,1032.754150,893907
2022-09-15,1041.800049,1061.750000,1031.400024,1041.550049,1036.436157,1604996
2022-09-16,1040.000000,1043.500000,1012.299988,1024.900024,1019.867859,1601671
2022-09-19,1019.500000,1041.000000,1016.150024,1027.199951,1022.156494,1895834
2022-09-20,1033.500000,1087.949951,1033.500000,1082.150024,1076.836792,3241244
2022-09-21,1076.000000,1094.400024,1066.650024,1068.449951,1063.203979,2001040
2022-09-22,1060.000000,1086.000000,1060.000000,1066.449951,1061.213745,2452415
2022-09-23,1068.000000,1070.599976,1027.000000,1037.550049,1032.455688,1935689
2022-09-26,1034.800049,1034.800049,994.049988,1024.849976,1019.818054,1652899
2022-09-27,1035.000000,1043.000000,1020.750000,1034.849976,1029.768921,1417788
2022-09-28,1024.250000,1041.250000,1017.099976,1021.250000,1016.235718,1241220
2022-09-29,1026.349976,1037.000000,1009.700012,1011.900024,1006.931641,1056799
2022-09-30,1011.000000,1036.150024,984.250000,1032.250000,1027.181763,2086641
2022-10-03,1035.150024,1035.949951,986.549988,995.500000,990.612183,1747293
2022-10-04,1016.599976,1038.800049,1007.049988,1034.900024,1029.818726,1378191
2022-10-06,1039.750000,1082.800049,1037.550049,1074.800049,1069.522827,2710620
2022-10-07,1080.000000,1087.199951,1069.300049,1084.849976,1079.523438,1271663
2022-10-10,1066.400024,1076.650024,1055.400024,1066.650024,1061.412842,1019624
2022-10-11,1070.000000,1070.349976,1048.750000,1055.199951,1050.019043,928746
2022-10-12,1050.400024,1093.199951,1047.199951,1087.699951,1082.359375,1218634
2022-10-13,1087.699951,1096.349976,1066.599976,1077.599976,1072.309082,1370021
2022-10-14,1091.000000,1106.900024,1072.650024,1078.349976,1073.055298,1723553
2022-10-17,1071.000000,1080.800049,1060.000000,1075.050049,1069.771606,966318
2022-10-18,1092.000000,1135.000000,1089.800049,1129.050049,1123.506470,3359533
2022-10-19,1135.000000,1176.900024,1131.849976,1171.449951,1165.698242,3440709
2022-10-20,1156.250000,1165.050049,1132.800049,1142.250000,1136.641602,1988428
2022-10-21,1148.000000,1156.349976,1135.000000,1141.800049,1136.193848,965954
2022-10-24,1154.900024,1154.900024,1142.199951,1146.099976,1140.472656,110280
2022-10-25,1150.099976,1161.449951,1145.550049,1156.949951,1151.269409,952625
2022-10-27,1159.900024,1165.000000,1119.000000,1124.550049,1119.028564,1269462
2022-10-28,1120.000000,1135.550049,1114.250000,1127.150024,1121.615845,885662
2022-10-31,1132.800049,1155.800049,1131.050049,1146.050049,1140.422974,1201542
2022-11-01,1150.000000,1156.000000,1128.750000,1138.000000,1132.412476,1150562
2022-11-02,1140.449951,1143.699951,1111.599976,1115.000000,1109.525391,1142831
2022-11-03,1111.650024,1144.699951,1110.300049,1134.650024,1129.078979,1493565
2022-11-04,1137.000000,1141.550049,1112.000000,1114.150024,1108.679565,1182660
2022-11-07,1115.000000,1122.849976,1081.099976,1112.750000,1107.286499,2256933
2022-11-09,1120.099976,1166.000000,1115.050049,1144.750000,1139.129395,3041336
2022-11-10,1144.699951,1144.699951,1098.050049,1105.949951,1100.519775,2235744
2022-11-11,1138.000000,1142.550049,1100.099976,1107.449951,1102.012451,2217061
2022-11-14,1109.949951,1124.699951,1091.199951,1100.750000,1095.345337,1178046
2022-11-15,1103.000000,1129.949951,1096.750000,1103.199951,1097.783325,1691513
2022-11-16,1105.699951,1136.000000,1104.750000,1118.500000,1113.008301,2034541
2022-11-17,1118.699951,1130.000000,1100.250000,1109.099976,1103.654419,1597488
2022-11-18,1113.000000,1121.150024,1066.000000,1081.849976,1076.538208,2508863
2022-11-21,1070.000000,1079.900024,1045.150024,1048.449951,1043.302124,2657824
2022-11-22,1048.000000,1056.800049,1037.550049,1043.300049,1038.177490,1994682
2022-11-23,1049.400024,1055.400024,1045.650024,1052.000000,1046.834717,1095450
2022-11-24,1057.300049,1058.699951,1043.300049,1052.650024,1047.481567,1035756
2022-11-25,1053.550049,1055.650024,1035.000000,1037.449951,1032.356201,1461816
2022-11-28,1034.599976,1063.000000,1029.000000,1060.500000,1055.292969,2723439
2022-11-29,1053.250000,1059.599976,1037.550049,1039.849976,1034.744385,1325447
2022-11-30,1045.050049,1066.250000,1032.250000,1048.150024,1043.003662,27363975
2022-12-01,1058.849976,1062.949951,1044.000000,1050.000000,1044.844604,1621405
