Date,Open,High,Low,Close,Adj Close,Volume
2022-09-30,660.000000,682.799988,660.000000,679.849976,676.928223,4009424
2022-10-03,679.000000,726.700012,678.950012,722.099976,718.996643,6624301
2022-10-04,725.000000,750.549988,712.150024,742.250000,739.060120,4221009
2022-10-06,744.950012,744.950012,720.900024,723.200012,720.091980,2058528
2022-10-07,717.650024,727.900024,713.299988,721.200012,718.100586,1521206
2022-10-10,718.200012,718.700012,703.500000,707.200012,704.160767,862977
2022-10-11,708.000000,710.000000,679.599976,680.950012,678.023560,1687438
2022-10-12,684.400024,685.349976,673.299988,679.299988,676.380615,696667
2022-10-13,679.299988,689.900024,677.000000,687.150024,684.196899,1220383
2022-10-14,694.000000,698.750000,681.599976,690.650024,687.681885,1099831
2022-10-17,691.000000,695.750000,686.099976,690.650024,687.681885,441511
2022-10-18,694.150024,695.950012,682.250000,693.799988,690.818298,682092
2022-10-19,695.000000,697.950012,685.400024,689.150024,686.188293,478399
2022-10-20,672.000000,691.400024,671.299988,679.700012,676.778931,1593310
2022-10-21,680.500000,688.349976,675.000000,678.799988,675.882751,435914
2022-10-24,682.000000,686.599976,678.799988,680.750000,677.824402,79098
2022-10-25,680.750000,690.950012,676.049988,684.500000,681.558289,931457
2022-10-27,687.000000,707.500000,685.099976,703.299988,700.277466,1025154
2022-10-28,706.849976,706.849976,693.049988,696.400024,693.407166,603938
2022-10-31,695.000000,705.549988,688.299988,699.000000,695.995972,686201
2022-11-01,700.000000,714.799988,700.000000,709.250000,706.201904,790993
2022-11-02,709.500000,716.700012,704.700012,707.450012,704.409668,662770
2022-11-03,704.849976,714.000000,701.299988,712.150024,709.089478,502147
2022-11-04,714.000000,716.299988,702.500000,710.650024,707.595947,790358
2022-11-07,712.000000,723.950012,706.549988,709.849976,706.799316,1088511
2022-11-09,713.000000,715.400024,688.049988,694.250000,691.266357,1396214
2022-11-10,717.200012,754.000000,707.599976,719.349976,716.258484,11685941
2022-11-11,725.000000,749.000000,725.000000,747.000000,743.789673,3270406
2022-11-14,749.000000,760.799988,737.400024,759.500000,756.235962,1644409
2022-11-15,761.000000,763.400024,748.299988,753.549988,750.311523,743769
2022-11-16,752.500000,756.849976,732.250000,739.650024,736.471313,1832877
2022-11-17,740.000000,746.700012,730.099976,736.099976,732.936523,647445
2022-11-18,736.099976,740.000000,719.000000,721.049988,717.951172,870179
2022-11-21,721.000000,724.599976,713.000000,720.900024,717.801880,706128
2022-11-22,724.500000,726.849976,714.000000,719.750000,716.656799,1107748
2022-11-23,726.000000,729.349976,717.299988,719.049988,715.959778,1211257
